Hearing Date and Time Start,ALJ,Case
2015-07-13T10:00:00,Haggerty,14-001965
2015-07-13T13:00:00,Haggerty,14-002721
2015-07-13T15:00:00,Haggerty,14-002961
2015-07-14T09:00:00,Manley,14-003937
2015-07-14T09:30:00,Manley,14-003595
2015-07-14T10:00:00,Manley,14-003540
2015-07-14T10:30:00,Manley,14-003461
2015-07-14T11:00:00,Manley,14-002553
2015-07-15T09:00:00,Cyrus,14-001385
2015-07-15T14:30:00,Cyrus,14-002341
2015-07-16T09:00:00,Manley,14-004020
2015-07-16T09:30:00,Manley,14-004019
2015-07-16T10:00:00,Cyrus,14-002812
2015-07-16T11:00:00,Manley,14-001165
2015-07-17T10:00:00,Cyrus,14-002621
2015-07-17T13:00:00,Haggerty,14-002835
2015-07-17T14:30:00,Haggerty,14-002872
2015-07-17T15:00:00,Cyrus,14-001026
2015-07-20T09:00:00,Haggerty,14-002976
2015-07-21T09:00:00,Manley,14-004292
2015-07-21T09:00:00,Cyrus,14-000756
2015-07-21T09:30:00,Manley,15-000041
2015-07-21T10:00:00,Manley,15-000042
2015-07-21T10:00:00,Cyrus,14-002979
2015-07-21T10:30:00,Manley,15-000051
2015-07-21T11:00:00,Manley,15-000052
2015-07-21T11:30:00,Manley,15-000061
2015-07-21T12:00:00,Manley,15-000062
2015-07-21T13:00:00,Ballin,14-000925
2015-07-22T09:00:00,Cyrus,14-001975
2015-07-22T09:00:00,Haggerty,14-002708
2015-07-22T09:00:00,Manley,14-002028
2015-07-22T13:00:00,Cyrus,14-000715
2015-07-22T13:00:00,Haggerty,14-003170
2015-07-23T09:00:00,Manley,14-004130
2015-07-23T09:00:00,Cyrus,14-002578
2015-07-23T10:00:00,Manley,14-001686
2015-07-23T10:30:00,Cyrus,14-002746
2015-07-23T11:00:00,Manley,14-001775
2015-07-23T13:00:00,Ballin,14-002387
2015-07-23T14:00:00,Ballin,14-002149
2015-07-23T15:00:00,Ballin,14-002537
2015-07-24T09:00:00,Haggerty,14-002768
2015-07-24T13:00:00,Haggerty,14-003022
2015-07-27T09:00:00,Ballin,14-002744
2015-07-27T09:00:00,Haggerty,14-002901
2015-07-27T10:00:00,Ballin,14-002879
2015-07-27T10:00:00,Haggerty,14-003005
2015-07-28T09:00:00,Ballin,14-002765
2015-07-28T10:00:00,Manley,14-003373
2015-07-28T10:30:00,Manley,14-003673
2015-07-28T11:00:00,Manley,14-001885
2015-07-28T13:00:00,Ballin,14-003050
2015-07-28T14:30:00,Cyrus,14-003091
2015-07-29T09:00:00,Haggerty,14-003040
2015-07-29T09:00:00,Manley,14-001475
2015-07-29T09:00:00,Manley,14-001476
2015-07-29T09:00:00,Cyrus,14-003722
2015-07-29T10:00:00,Manley,14-002803
2015-07-29T10:00:00,Manley,14-002804
2015-07-29T13:00:00,Haggerty,14-003070
2015-07-29T13:00:00,Cyrus,14-002109
2015-07-29T14:00:00,Haggerty,14-003072
2015-07-29T15:00:00,Haggerty,14-003095
2015-07-30T09:00:00,Manley,14-003973
2015-07-30T09:00:00,Ballin,14-003129
2015-07-30T09:30:00,Manley,14-003454
2015-07-30T10:00:00,Manley,14-003515
2015-07-30T10:00:00,Cyrus,14-003399
2015-07-30T11:00:00,Manley,14-001916
2015-07-30T13:00:00,Cyrus,14-003111
2015-07-30T13:00:00,Ballin,14-003099
2015-07-30T15:00:00,Cyrus,14-003161
2015-08-03T09:00:00,Haggerty,14-003173
2015-08-03T09:00:00,Ballin,14-000075
2015-08-03T10:30:00,Ballin,14-001637
2015-08-03T13:00:00,Ballin,14-001279
2015-08-03T14:00:00,Haggerty,14-001416
2015-08-04T09:00:00,Manley,14-001126
2015-08-04T09:00:00,Ballin,14-001869
2015-08-04T09:00:00,Cyrus,14-001155
2015-08-04T09:30:00,Manley,14-001265
2015-08-04T10:00:00,Ballin,14-001542
2015-08-04T10:30:00,Manley,14-000286
2015-08-04T11:00:00,Manley,14-001985
2015-08-05T09:00:00,Cyrus,14-002815
2015-08-05T13:30:00,Cyrus,15-000679
2015-08-05T14:30:00,Haggerty,14-003094
2015-08-06T10:00:00,Manley,14-002575
2015-08-06T10:00:00,Ballin,14-003063
2015-08-06T10:30:00,Manley,14-002346
2015-08-06T10:30:00,Ballin,14-001784
2015-08-06T13:00:00,Cyrus,14-002880
2015-08-06T13:00:00,Ballin,14-002967
2015-08-06T13:00:00,Ballin,14-003008
2015-08-06T13:00:00,Ballin,15-000508
2015-08-07T13:00:00,Haggerty,14-003064
2015-08-07T14:30:00,Haggerty,14-002556
2015-08-07T14:30:00,Haggerty,14-003132
2015-08-10T09:00:00,Ballin,14-003175
2015-08-10T13:00:00,Haggerty,14-003149
2015-08-10T14:00:00,Ballin,14-002374
2015-08-10T14:30:00,Cyrus,14-003190
2015-08-10T15:00:00,Ballin,14-002953
2015-08-11T09:00:00,Manley,14-002501
2015-08-11T09:00:00,Cyrus,14-003275
2015-08-11T10:00:00,Manley,14-002144
2015-08-11T10:30:00,Cyrus,14-003034
2015-08-11T11:00:00,Manley,14-001936
2015-08-11T13:00:00,Ballin,14-000051
2015-08-11T14:30:00,Ballin,14-003201
